REGION,DISTRICT,TRANSACTION_DATE,AMOUNT,METER_NUMBER,ACCOUNT_NUMBER,TRANSACTION_ID,TELCO,METRE_TYPE,METER_MAKE,Channels,PAYMENT_CHANNEL,Payment_Completed,Recharge_Fulfilled,Status,Status_Description,SPN,rechargeSource,Tracker
ACCRA WEST,Achimota ,16-02-1999,7,P201137976,733603756,jSARZ2ZfrA,mtn,Empower Smart,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203473347,mobile-app,1
TEMA,Nungua ,16-02-1999,10,P191129124,749748221,JSbkSeTjxX,vodafone,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205118877,mobile-app,1
ACCRA EAST,Roman Ridge ,30-01-1999,14,P15307280,728232430,2,afrifanom,Aimir,PREPAID,MOBILE APP,OLTPV,1,1,success,,201517955,oltpv,1
TEMA,Afienya ,28-04-1999,18,P161170945,715041178,224Nt4czcCsN,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202255010,mobile-app,1
TEMA,Prampram ,29-04-1999,50,24911847697,753609009,225dgWSYNhRA,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205490015,mobile-app,1
TEMA,South Tema ,30-04-1999,18,P191144520,712691962,23teTbqcZg6m,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201288273,mobile-app,1
ACCRA EAST,Teshie ,14-02-1999,50,P181125601,729572801,jsCeqpM728,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203029572,mobile-app,1
TEMA,Prampram ,20-02-1999,50,P201236774,749104134,Q2CwZycct4,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205048221,mobile-app,1
ACCRA WEST,Korle-bu ,20-02-1999,40,P191136184,733194812,RA4ZAJDWjQ,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203365497,mobile-app,1
ACCRA EAST,Mampong ,20-02-1999,20,P161123015,737732393,Bk3KQRXbeR,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203841736,mobile-app,1
ACCRA EAST,Adenta ,20-02-1999,20,P201117679,713439140,rESbtbTCn7,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201361753,mobile-app,1
TEMA,Afienya ,20-02-1999,70,P201162244,750268983,xhnztmN8Aj,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205175230,mobile-app,1
TEMA,Afienya ,20-02-1999,19,P161171286,740159121,BSrJd8TA4a,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204102641,mobile-app,1
ACCRA WEST,Nsawam ,20-02-1999,20,P191106365,750085608,yHwWYyS8Zk,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205155228,mobile-app,1
ACCRA EAST,Roman Ridge ,17-02-1999,4,P171026810,713669191,cHFTr4Q9wC,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201391465,mobile-app,1
ACCRA EAST,Legon ,20-02-1999,300,P201233777,750168900,FXnnk4W6Ah,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205164572,mobile-app,1
TEMA,South Tema ,16-02-1999,50,P191071958,712381701,x5K477WpP7,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201259727,mobile-app,1
ACCRA WEST,Korle-bu ,16-02-1999,50,P171042395,732023574,X5kW4BGAmY,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203323104,mobile-app,1
ACCRA WEST,Dansoman ,14-02-1999,100,P201129268,748601780,x5M2A7CQhJ,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204994155,mobile-app,1
TEMA,Nungua ,16-02-1999,1,P191152500,727319722,X5m5MsCMgf,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202756523,mobile-app,1
ACCRA WEST,Achimota ,16-02-1999,10,P17305113,734671379,x5Mw7jJWnz,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203597147,mobile-app,1
TEMA,Afienya ,16-02-1999,30,P161169545,742343324,X5Qs5NYqry,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204340383,mobile-app,1
TEMA,Ashaiman ,16-02-1999,200,P191136324,712291887,X5RxhnBNTG,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201251005,mobile-app,1
ACCRA WEST,Achimota ,16-02-1999,20,P201143075,735278074,x5yBcr652j,mtn,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203535492,mobile-app,1
ACCRA EAST,Makola ,16-02-1999,2,P201111201,701512796,X5YnYT5kJz,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200152588,mobile-app,1
TEMA,Afienya ,16-02-1999,70,P19302966,712460120,x6AaDhaqKz,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201266602,mobile-app,1
TEMA,South Tema ,20-02-1999,20,P191145705,712793555,t7K24xXzWQ,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201300164,mobile-app,1
ACCRA EAST,Legon ,16-02-1999,100,P171066983,702042318,b6dXPGZkp5,mtn,ALPHA POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200205721,mobile-app,1
TEMA,South Tema ,16-02-1999,20,P191052542,713161018,b6MsQJZPfQ,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201338000,mobile-app,1
ACCRA WEST,Achimota ,16-02-1999,100,P20308519,732496775,B6pcbC4tbb,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203479030,mobile-app,1
TEMA,South Tema ,29-04-1999,1000,P19303115,712470391,443t6qBM3CxZ,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201269135,mobile-app,1
ACCRA WEST,Kaneshie ,16-02-1999,20,P201243745,732978991,b6yBNWFYPb,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203358352,mobile-app,1
TEMA,Afienya ,20-02-1999,10,P191157230,712111787,j5R6YRKMDt,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201231792,mobile-app,1
TEMA,South Tema ,20-02-1999,50,P191065635,712525680,PhJkp76HJF,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201271747,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,50,P201244277,713864024,GRAdcmQxCM,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201407950,mobile-app,1
ACCRA EAST,Mampong ,17-02-1999,200,P8316054,701862321,GRAhJtSMFN,mtn,ALPHA POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200187695,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,30,24912054798,757164301,grbR8yHPTB,airteltigo,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205825968,mobile-app,1
TEMA,North Tema ,17-02-1999,300,P191118069,711846710,GrDwRqZykn,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201205354,mobile-app,1
ACCRA WEST,Nsawam ,17-02-1999,30,P191137923,746587387,rzNDAC3trp,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204787401,mobile-app,1
ACCRA WEST,Kaneshie ,17-02-1999,20,P201244064,734728534,RzpHpzQbkX,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203241445,mobile-app,1
TEMA,Ashaiman ,17-02-1999,30,P191056892,747788044,rzrhMJK9Mx,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204907772,mobile-app,1
TEMA,South Tema ,17-02-1999,49,P191089381,712740895,rzss8Zfs9g,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201294554,mobile-app,1
TEMA,Nungua ,17-02-1999,10,P191155782,727253632,RZT4ZfZn9A,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202749336,mobile-app,1
TEMA,South Tema ,17-02-1999,118,24012095246,712612140,RzW5jmS5PA,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201281711,mobile-app,1
ACCRA EAST,Roman Ridge ,20-02-1999,35,P17301762,702242242,6EGytfat67,vodafone,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200225714,mobile-app,1
ACCRA EAST,Makola ,28-02-1999,50,P181165472,738986268,265ta58ffd,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203978697,mobile-app,1
ACCRA EAST,Adenta ,28-02-1999,60,P161119697,713866940,26KTAbhtMM,airteltigo,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201406395,mobile-app,1
ACCRA EAST,Legon ,20-02-1999,100,24911910214,755379341,DtP4aB2j3p,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205637076,mobile-app,1
ACCRA WEST,Bortianor ,20-02-1999,20,P191113061,749872400,pr5hxyGA3j,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205132295,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,100,P191059811,749229918,QHHq9SDqfg,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205061768,mobile-app,1
TEMA,Nungua ,16-02-1999,10,P191152530,727310086,QhJ9BtEeDZ,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202755164,mobile-app,1
TEMA,North Tema ,16-02-1999,300,P19313736,751195931,qHJCeJpmek,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205264638,mobile-app,1
ACCRA WEST,Ablekuma ,16-02-1999,10,P191116163,743256080,QhJwpBJWwx,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204439833,mobile-app,1
ACCRA EAST,Mampong ,16-02-1999,15,P161113953,739348040,QhKJC9qMfG,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204017693,mobile-app,1
ACCRA EAST,Makola ,16-02-1999,20,P201243830,749908157,QHMEKJgbkY,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205136090,mobile-app,1
TEMA,Krobo ,16-02-1999,20,54112192312,703858550,qhnM3jrQ4e,mtn,MMS-CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200418467,mobile-app,1
ACCRA WEST,Achimota ,14-02-1999,30,P20309045,748334171,QhpBmdSXxk,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204965803,mobile-app,1
ACCRA WEST,Dansoman ,14-02-1999,20,P191220777,731991670,QHpfSHWPZH,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203312758,mobile-app,1
ACCRA EAST,Dodowa ,16-02-1999,40,P161122460,744791493,qhrnShJFyj,mtn,ALPHA POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204602240,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,100,P201157386,750860371,QHSbZrFS4F,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205236042,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,150,P181172034,701806154,qHSR43F3CR,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200182070,mobile-app,1
TEMA,Nungua ,16-02-1999,50,P19309361,711980989,qhtYGJewmR,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201218421,mobile-app,1
TEMA,South Tema ,17-02-1999,20,P191093684,712427800,khxgfKj2DM,vodafone,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201263511,mobile-app,1
TEMA,Krobo ,16-02-1999,30,54112109134,703283506,WgpY8McrJP,mtn,MMS-CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200360161,mobile-app,1
ACCRA EAST,Kwabenya ,16-02-1999,60,P181169834,728116832,WGRRj2EkCb,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202841935,mobile-app,1
ACCRA WEST,Kaneshie ,16-02-1999,50,24813133188,733408206,WgsCa9AfgY,mtn,HUAWEI-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203345479,mobile-app,1
WESTERN,Sekondi ,16-02-1999,20,P191178908,747701042,WGSJQQaEkN,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204898608,mobile-app,1
ACCRA WEST,Amasaman ,16-02-1999,30,P191144696,747764306,WgTHw2Mfen,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204905237,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,2,P17312100,729624917,wGWpHW4d7M,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202923336,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,70,P191057951,748295464,WgX8TNWTAX,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204961689,mobile-app,1
ASHANTI WEST,Abuakwa ,16-02-1999,45,G131135138,745085081,WGYdRz2jfs,mtn,SMART G,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204634160,mobile-app,1
CENTRAL,Winneba ,16-02-1999,20,P201138809,754743751,wgzGSfH9NC,mtn,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205582288,mobile-app,1
TEMA,Nungua ,17-02-1999,100,P191085604,712074726,crF7gHAS2B,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201229717,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,2,P161121149,747604836,cRNm87eCQJ,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204888414,mobile-app,1
ACCRA WEST,Bortianor ,17-02-1999,10,P19301470,729891211,hjfBWbC8t7,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202963230,mobile-app,1
TEMA,Nungua ,17-02-1999,5,P191062790,727278524,WnBJztWw32,ECG,CLOU NEW,PREPAID,MOBILE APP,PowerApp Balance,1,1,success,,202751974,mobile-app,1
ACCRA EAST,Dodowa ,17-02-1999,500,P6329386,746827074,wNHPN3D59z,mtn,ALPHA POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204809313,mobile-app,1
ACCRA WEST,Nsawam ,04-05-1999,1224,,759826151,7001689095,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
ACCRA WEST,Bortianor ,17-02-1999,50,P191100357,729322861,9tX24n8d2d,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202944124,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,100,P201244593,749710007,sPwbzH4Fa8,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205114786,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,10,P191145262,729347291,p4X5gQkhc5,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202949099,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,100,P171045648,741857801,P4xN8y6wg5,vodafone,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204288018,mobile-app,1
ACCRA WEST,Dansoman ,16-02-1999,30,P17306453,733179959,p4XZacQGKf,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203277497,mobile-app,1
TEMA,South Tema ,20-02-1999,20,P19307094,712772955,sZP8r9Sd2T,airteltigo,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201303365,mobile-app,1
ACCRA EAST,Teshie ,20-02-1999,14,P181135460,747497707,jYwaETZqT9,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204877432,mobile-app,1
TEMA,Afienya ,20-02-1999,30,P161171396,740403974,dNYZRMtdQm,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204129611,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,10,P161180636,744614772,e2fAbH3AsA,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204583854,mobile-app,1
ACCRA WEST,Ablekuma ,16-02-1999,2,P191089394,747649265,e2FtcBqjhC,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204893196,mobile-app,1
ACCRA EAST,Legon ,16-02-1999,20,141118507,714831581,E2gbBrH5eg,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201504561,mobile-app,1
WESTERN,Takoradi ,16-02-1999,20,P191179246,710687154,e2Nzfw2egj,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201089366,mobile-app,1
ACCRA EAST,Legon ,14-02-1999,200,19079443,702466557,e2sbQH3hNn,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200252552,mobile-app,1
ACCRA WEST,Amasaman ,16-02-1999,30,P191136901,748505992,e2z4tYDkCm,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204983931,mobile-app,1
ACCRA WEST,Korle-bu ,16-02-1999,17,P191134709,736300029,E2ZKEPFgrZ,airteltigo,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203683820,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,30,P191081407,729074691,e35kmcXbAh,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202990512,mobile-app,1
ACCRA EAST,Mampong ,20-02-1999,40,P181119746,743158939,qKNzEp8qk7,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204429049,mobile-app,1
TEMA,Afienya ,17-02-1999,20,P191136645,737356199,y5cTQs9sGa,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203798460,mobile-app,1
ACCRA WEST,Ablekuma ,17-02-1999,20,P191127851,729476734,y5hPnw4N25,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203010898,mobile-app,1
ACCRA WEST,Kaneshie ,17-02-1999,10,P201227301,733257152,y5Kj8wRRT4,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203264417,mobile-app,1
TEMA,Afienya ,20-02-1999,50,54130229062,757467421,MdBheCYmWn,mtn,MMS-CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205858347,mobile-app,1
TEMA,South Tema ,22-02-1999,40,P191106269,712770835,NRwhHBpscA,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201300014,mobile-app,1
ACCRA WEST,Bortianor ,20-02-1999,40,P191170037,750751941,QzTQxJPHTS,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205225170,mobile-app,1
TEMA,South Tema ,23-10-1999,5,P191087083,712375863,29749427484,MTN,CLOU NEW,PREPAID,MOBILE APP,OLTPV,1,1,success,,201259213,oltpv,1
TEMA,Afienya ,20-02-1999,20,P191169620,749058585,qzXTz7rMjQ,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205043345,mobile-app,1
ACCRA WEST,Nsawam ,20-02-1999,50,P19319578,746360367,C26FZhTjPB,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204765237,mobile-app,1
ACCRA WEST,Ablekuma ,20-02-1999,40,P161186292,728653911,MK9HYnm8yX,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202948824,mobile-app,1
TEMA,North Tema ,20-02-1999,20,P191083766,711670585,mRx6aytD6H,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201189499,mobile-app,1
TEMA,Prampram ,20-02-1999,50,P201240221,750230563,MRYYdYTrWg,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205171185,mobile-app,1
ACCRA EAST,Dodowa ,16-02-1999,30,141114244,702496909,gPEP6GWxFq,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200270210,mobile-app,1
ACCRA WEST,Bortianor ,16-02-1999,1,P171043513,745462577,GPFEhJbJRz,ECG,MBH POWER,PREPAID,MOBILE APP,PowerApp Balance,1,1,success,,204673414,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,100,P171000123,741818813,CmrWNfaYWm,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204283939,mobile-app,1
ACCRA EAST,Adenta ,17-02-1999,20,P20322442,748521302,CMRYe2Wq8R,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204985471,mobile-app,1
TEMA,North Tema ,16-02-1999,30,P191132582,711447061,8eSZPc68rg,airteltigo,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201165528,mobile-app,1
TEMA,Prampram ,17-02-1999,10,P201237338,750314981,8ETPkaPqgA,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205180176,mobile-app,1
TEMA,Nungua ,16-02-1999,50,P191111973,730154854,8f3aCpj6SC,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202896598,mobile-app,1
ACCRA EAST,Legon ,16-02-1999,50,P201128683,702483214,8FkCt2Ag6J,vodafone,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200266452,mobile-app,1
TEMA,South Tema ,16-02-1999,50,P191058805,712323134,8fkcY895kt,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201254051,mobile-app,1
TEMA,Ashaiman ,16-02-1999,100,P191089015,748468900,8fKmNTr5Ha,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204980038,mobile-app,1
TEMA,Afienya ,20-02-1999,50,P161154694,737351768,aCZT73TxqB,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203799624,mobile-app,1
ACCRA WEST,Achimota ,20-02-1999,200,P201125958,741469759,WgexreGtz5,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204246461,mobile-app,1
ACCRA EAST,Dodowa ,20-02-1999,50,P181175260,743641501,2cPd2ec9ab,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204482427,mobile-app,1
TEMA,Nungua ,20-02-1999,200,P19312515,750197301,2CQJ7S35ZW,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205167474,mobile-app,1
TEMA,South Tema ,17-02-1999,30,P191087123,712341546,aeyTxemK6J,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201254880,mobile-app,1
TEMA,Afienya ,20-02-1999,40,P161171042,742678985,WtGfsBHMJr,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204378483,mobile-app,1
TEMA,Nungua ,20-02-1999,10,P191068950,727205865,WTMt4mkegF,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202744482,mobile-app,1
